Model selection results for subset: 0a89949a3fa92b68d9c7b8d6d0a4610c
Subset alignment stored here: ./analysis/phylofiles/0a89949a3fa92b68d9c7b8d6d0a4610c.phy
This subset contains the following data_blocks: cox2
Number of columns in subset: 687
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
HKY+I+X         | 5               | -2961.63        | 5933.35          | 5933.26         | 5955.92        
TRN+I+X         | 6               | -2961.29        | 5934.7           | 5934.58         | 5961.77        
GTR+I+X         | 9               | -2958.58        | 5935.43          | 5935.16         | 5975.95        
HKY+G+X         | 5               | -2965.87        | 5941.83          | 5941.74         | 5964.4         
HKY+I           | 5               | -2966.0         | 5942.08          | 5941.99         | 5964.66        
TRN+G+X         | 6               | -2965.65        | 5943.42          | 5943.29         | 5970.49        
HKY+I+G+X       | 6               | -2965.75        | 5943.63          | 5943.5          | 5970.7         
TRN+I           | 6               | -2965.98        | 5944.08          | 5943.96         | 5971.15        
GTR+G+X         | 9               | -2963.22        | 5944.7           | 5944.44         | 5985.23        
GTR+I           | 9               | -2963.25        | 5944.77          | 5944.5          | 5985.3         
TRN+I+G+X       | 7               | -2965.49        | 5945.15          | 5944.98         | 5976.71        
GTR+I+G+X       | 10              | -2963.04        | 5946.41          | 5946.08         | 5991.4         
HKY+G           | 5               | -2971.98        | 5954.05          | 5953.96         | 5976.62        
HKY+I+G         | 6               | -2971.83        | 5955.78          | 5955.66         | 5982.85        
TRN+G           | 6               | -2971.92        | 5955.97          | 5955.85         | 5983.04        
GTR+G           | 9               | -2969.45        | 5957.16          | 5956.89         | 5997.68        
TRN+I+G         | 7               | -2971.79        | 5957.74          | 5957.58         | 5989.3         
GTR+I+G         | 10              | -2969.34        | 5959.02          | 5958.69         | 6004.01        
SYM+I           | 6               | -3008.93        | 6029.99          | 6029.86         | 6057.06        
TRNEF+I         | 3               | -3013.2         | 6032.43          | 6032.39         | 6045.99        
K80+I           | 2               | -3017.97        | 6039.95          | 6039.93         | 6049.0         
SYM+G           | 6               | -3014.91        | 6041.94          | 6041.82         | 6069.01        
SYM+I+G         | 7               | -3014.62        | 6043.41          | 6043.25         | 6074.97        
TRNEF+G         | 3               | -3020.53        | 6047.09          | 6047.06         | 6060.65        
TRNEF+I+G       | 4               | -3020.07        | 6048.2           | 6048.14         | 6066.27        
K80+G           | 2               | -3024.38        | 6052.77          | 6052.76         | 6061.82        
K80+I+G         | 3               | -3023.83        | 6053.7           | 6053.67         | 6067.26        
GTR+X           | 8               | -3178.61        | 6373.43          | 6373.22         | 6409.48        
GTR             | 8               | -3180.15        | 6376.51          | 6376.29         | 6412.55        
HKY+X           | 4               | -3186.39        | 6380.85          | 6380.79         | 6398.92        
TRN+X           | 5               | -3185.98        | 6382.04          | 6381.95         | 6404.61        
HKY             | 4               | -3187.88        | 6383.83          | 6383.77         | 6401.9         
TRN             | 5               | -3187.14        | 6384.37          | 6384.28         | 6406.94        
SYM             | 5               | -3201.85        | 6413.79          | 6413.7          | 6436.37        
TRNEF           | 2               | -3215.12        | 6434.26          | 6434.24         | 6443.31        
K80             | 1               | -3223.25        | 6448.5           | 6448.5          | 6453.03        
JC+G            | 1               | -3336.87        | 6675.74          | 6675.73         | 6680.26        
JC+I+G          | 2               | -3336.86        | 6677.73          | 6677.71         | 6686.78        
JC+I            | 1               | -3341.68        | 6685.36          | 6685.36         | 6689.89        
JC              | 0               | -3448.58        | 6897.17          | 6897.17         | 6897.17        
