Model selection results for subset: 5a15170cf07bfc6aa50ac86af528c892
Subset alignment stored here: ./analysis/phylofiles/5a15170cf07bfc6aa50ac86af528c892.phy
This subset contains the following data_blocks: cytb
Number of columns in subset: 1146
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
TRN+I+G+X       | 7               | -5044.68        | 10103.5          | 10103.4         | 10138.7        
HKY+I+G+X       | 6               | -5045.9         | 10103.9          | 10103.8         | 10134.1        
GTR+I+G+X       | 10              | -5043.9         | 10108.0          | 10107.8         | 10158.2        
TRN+I+X         | 6               | -5054.4         | 10120.9          | 10120.8         | 10151.1        
HKY+I+X         | 5               | -5055.7         | 10121.5          | 10121.4         | 10146.6        
GTR+I+X         | 9               | -5053.2         | 10124.6          | 10124.4         | 10169.8        
HKY+I+G         | 6               | -5067.33        | 10146.7          | 10146.7         | 10176.9        
HKY+I           | 5               | -5073.44        | 10156.9          | 10156.9         | 10182.1        
TRN+I           | 6               | -5073.04        | 10158.2          | 10158.1         | 10188.3        
GTR+I           | 9               | -5070.51        | 10159.2          | 10159.0         | 10204.4        
HKY+G+X         | 5               | -5084.25        | 10178.5          | 10178.5         | 10203.7        
TRN+G+X         | 6               | -5083.28        | 10178.6          | 10178.6         | 10208.8        
GTR+G+X         | 9               | -5081.73        | 10181.6          | 10181.5         | 10226.9        
GTR+G           | 9               | -5099.93        | 10218.0          | 10217.9         | 10263.3        
HKY+G           | 5               | -5104.44        | 10218.9          | 10218.9         | 10244.1        
TRN+G           | 6               | -5104.37        | 10220.8          | 10220.7         | 10251.0        
GTR+I+G         | 10              | -5101.93        | 10224.1          | 10223.9         | 10274.3        
TRN+I+G         | 7               | -5106.4         | 10226.9          | 10226.8         | 10262.1        
SYM+I           | 6               | -5178.72        | 10369.5          | 10369.4         | 10399.7        
TRNEF+I         | 3               | -5186.57        | 10379.2          | 10379.1         | 10394.3        
K80+I           | 2               | -5198.71        | 10401.4          | 10401.4         | 10411.5        
SYM+I+G         | 7               | -5194.44        | 10403.0          | 10402.9         | 10438.2        
SYM+G           | 6               | -5196.05        | 10404.2          | 10404.1         | 10434.4        
TRNEF+G         | 3               | -5214.14        | 10434.3          | 10434.3         | 10449.4        
TRNEF+I+G       | 4               | -5216.24        | 10440.5          | 10440.5         | 10460.6        
K80+G           | 2               | -5228.49        | 10461.0          | 10461.0         | 10471.1        
K80+I+G         | 3               | -5228.48        | 10463.0          | 10463.0         | 10478.1        
GTR+X           | 8               | -5342.23        | 10700.6          | 10700.5         | 10740.8        
GTR             | 8               | -5344.39        | 10704.9          | 10704.8         | 10745.1        
HKY+X           | 4               | -5378.08        | 10764.2          | 10764.2         | 10784.3        
HKY             | 4               | -5378.39        | 10764.8          | 10764.8         | 10784.9        
TRN+X           | 5               | -5377.98        | 10766.0          | 10766.0         | 10791.2        
TRN             | 5               | -5378.38        | 10766.8          | 10766.8         | 10792.0        
SYM             | 5               | -5388.24        | 10786.5          | 10786.5         | 10811.7        
TRNEF           | 2               | -5444.89        | 10893.8          | 10893.8         | 10903.9        
K80             | 1               | -5457.57        | 10917.1          | 10917.1         | 10922.2        
JC+G            | 1               | -5673.35        | 11348.7          | 11348.7         | 11353.7        
JC+I+G          | 2               | -5673.51        | 11351.0          | 11351.0         | 11361.1        
JC+I            | 1               | -5675.74        | 11353.5          | 11353.5         | 11358.5        
JC              | 0               | -5810.6         | 11621.2          | 11621.2         | 11621.2        
