Model selection results for subset: c00a42e321e8e47406002a49339fa12e
Subset alignment stored here: ./analysis/phylofiles/c00a42e321e8e47406002a49339fa12e.phy
This subset contains the following data_blocks: 16s
Number of columns in subset: 1656
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+I+G+X       | 10              | -5113.52        | 10247.2          | 10247.0         | 10301.2        
GTR+I+G         | 10              | -5119.02        | 10258.2          | 10258.0         | 10312.2        
GTR+G+X         | 9               | -5120.05        | 10258.2          | 10258.1         | 10306.8        
TRN+I+G+X       | 7               | -5124.32        | 10262.7          | 10262.6         | 10300.5        
GTR+G           | 9               | -5125.57        | 10269.2          | 10269.1         | 10317.8        
TRN+I+G         | 7               | -5129.35        | 10272.8          | 10272.7         | 10310.6        
TRN+G+X         | 6               | -5131.85        | 10275.8          | 10275.7         | 10308.2        
TRN+G           | 6               | -5136.87        | 10285.8          | 10285.7         | 10318.2        
HKY+I+G+X       | 6               | -5148.54        | 10309.1          | 10309.1         | 10341.5        
HKY+G+X         | 5               | -5157.74        | 10325.5          | 10325.5         | 10352.5        
GTR+I+X         | 9               | -5155.57        | 10329.3          | 10329.1         | 10377.9        
GTR+I           | 9               | -5160.39        | 10338.9          | 10338.8         | 10387.5        
HKY+I+G         | 6               | -5164.53        | 10341.1          | 10341.1         | 10373.5        
TRN+I+X         | 6               | -5165.52        | 10343.1          | 10343.0         | 10375.5        
TRN+I           | 6               | -5170.44        | 10352.9          | 10352.9         | 10385.4        
HKY+G           | 5               | -5174.3         | 10358.6          | 10358.6         | 10385.7        
HKY+I+X         | 5               | -5184.48        | 10379.0          | 10379.0         | 10406.0        
SYM+I+G         | 7               | -5184.37        | 10382.8          | 10382.7         | 10420.6        
SYM+G           | 6               | -5189.68        | 10391.4          | 10391.4         | 10423.8        
HKY+I           | 5               | -5199.3         | 10408.6          | 10408.6         | 10435.7        
TRNEF+I+G       | 4               | -5205.79        | 10419.6          | 10419.6         | 10441.2        
TRNEF+G         | 3               | -5213.32        | 10432.7          | 10432.6         | 10448.9        
SYM+I           | 6               | -5221.75        | 10455.5          | 10455.5         | 10488.0        
K80+I+G         | 3               | -5241.21        | 10488.4          | 10488.4         | 10504.6        
TRNEF+I         | 3               | -5245.57        | 10497.2          | 10497.1         | 10513.4        
K80+G           | 2               | -5252.06        | 10508.1          | 10508.1         | 10518.9        
K80+I           | 2               | -5272.32        | 10548.7          | 10548.6         | 10559.5        
GTR+X           | 8               | -5276.12        | 10568.3          | 10568.2         | 10611.5        
GTR             | 8               | -5280.61        | 10577.3          | 10577.2         | 10620.5        
TRN+X           | 5               | -5295.54        | 10601.1          | 10601.1         | 10628.1        
TRN             | 5               | -5299.47        | 10609.0          | 10608.9         | 10636.0        
HKY+X           | 4               | -5332.9         | 10673.8          | 10673.8         | 10695.5        
SYM             | 5               | -5334.72        | 10679.5          | 10679.4         | 10706.5        
HKY             | 4               | -5350.5         | 10709.0          | 10709.0         | 10730.6        
TRNEF           | 2               | -5367.56        | 10739.1          | 10739.1         | 10750.0        
K80             | 1               | -5411.87        | 10825.7          | 10825.7         | 10831.1        
JC+I+G          | 2               | -5467.76        | 10939.5          | 10939.5         | 10950.3        
JC+G            | 1               | -5473.2         | 10948.4          | 10948.4         | 10953.8        
JC+I            | 1               | -5499.52        | 11001.0          | 11001.0         | 11006.5        
JC              | 0               | -5579.27        | 11158.5          | 11158.5         | 11158.5        
