INFO     | 2019-05-02 15:16:00,225 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2019-05-02 15:16:00,228 | config     | Setting 'alignment' to 'cox2.p_and_cytb.p_and_16s.d.phy'
INFO     | 2019-05-02 15:16:00,228 | config     | Setting 'branchlengths' to 'unlinked'
INFO     | 2019-05-02 15:16:00,229 | parser     | You set 'models' to: GTR, GTR+G, GTR+I+G
INFO     | 2019-05-02 15:16:00,281 | model_load | This analysis will use the following 3 models of molecular evolution
INFO     | 2019-05-02 15:16:00,282 | model_load | GTR, GTR+G, GTR+I+G
INFO     | 2019-05-02 15:16:00,282 | config     | Setting 'model_selection' to 'aicc'
INFO     | 2019-05-02 15:16:00,285 | config     | Setting 'search' to 'greedy'
INFO     | 2019-05-02 15:16:00,285 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2019-05-02 15:16:00,285 | config     | Looking for alignment file './cox2.p_and_cytb.p_and_16s.d.phy'...
INFO     | 2019-05-02 15:16:00,285 | threadpool | Using 4 cpus
INFO     | 2019-05-02 15:16:00,286 | analysis   | Beginning Analysis
INFO     | 2019-05-02 15:16:00,343 | alignment  | Reading alignment file './cox2.p_and_cytb.p_and_16s.d.phy'
INFO     | 2019-05-02 15:16:00,347 | analysis   | Starting tree will be estimated from the data.
INFO     | 2019-05-02 15:16:00,348 | raxml      | Estimating Maximum Likelihood tree with RAxML fast experimental tree search for ./analysis/start_tree/filtered_source.phy
INFO     | 2019-05-02 15:16:00,348 | raxml      | Using a separate GTR+G model for each data block
INFO     | 2019-05-02 15:16:01,013 | raxml      | Estimating GTR+G branch lengths on ML tree using all partitions
INFO     | 2019-05-02 15:16:01,477 | raxml      | ML topology estimation finished
INFO     | 2019-05-02 15:16:01,478 | analysis_m | Performing Greedy Analysis
INFO     | 2019-05-02 15:16:01,478 | analysis_m |    *** Analysing starting scheme ***
INFO     | 2019-05-02 15:16:08,615 | progress   |       Finished subset 1/3, 33.33 percent done
INFO     | 2019-05-02 15:16:08,639 | progress   |       Finished subset 2/3, 66.67 percent done
INFO     | 2019-05-02 15:16:09,434 | progress   |       Finished subset 3/3, 100.00 percent done
INFO     | 2019-05-02 15:16:09,434 | analysis_m |    ***Greedy algorithm step 1***
INFO     | 2019-05-02 15:16:09,435 | analysis_m |       Analysing 3 new subset pairs
INFO     | 2019-05-02 15:16:22,018 | progress   |       Finished subset 1/3, 33.33 percent done
INFO     | 2019-05-02 15:16:22,597 | progress   |       Finished subset 2/3, 66.67 percent done
INFO     | 2019-05-02 15:16:30,285 | progress   |       Finished subset 3/3, 100.00 percent done
INFO     | 2019-05-02 15:16:30,285 | analysis_m |       Finding the best partitioning scheme
INFO     | 2019-05-02 15:16:30,286 | analysis_m |       Found no schemes that improve the score, stopping
INFO     | 2019-05-02 15:16:30,286 | analysis_m |    Greedy algorithm finished after 1 steps
INFO     | 2019-05-02 15:16:30,286 | analysis_m |    Best scoring scheme is scheme start_scheme, with aicc score of 26601.894
INFO     | 2019-05-02 15:16:30,287 | model_util |    Information on best scheme is here: ./analysis/best_scheme.txt
INFO     | 2019-05-02 15:16:30,287 | model_util |    
INFO     | 2019-05-02 15:16:30,287 | model_util |    
INFO     | 2019-05-02 15:16:30,287 | model_util |    *Citations for this analysis*
INFO     | 2019-05-02 15:16:30,288 | model_util |    -----------------------------
INFO     | 2019-05-02 15:16:30,288 | model_util |    
INFO     | 2019-05-02 15:16:30,288 | model_util |    If you use this analysis in your published work, please cite the following papers on which your analysis relied.
INFO     | 2019-05-02 15:16:30,288 | model_util |    
INFO     | 2019-05-02 15:16:30,288 | model_util |    For the version of PartitionFinder you used, please cite:
INFO     | 2019-05-02 15:16:30,288 | model_util |    Lanfear, R., Frandsen, P. B., Wright, A. M., Senfeld, T., Calcott, B. (2016) PartitionFinder 2: new methods for selecting partitioned models of evolution formolecular and morphological phylogenetic analyses. Molecular biology and evolution. DOI: dx.doi.org/10.1093/molbev/msw260
INFO     | 2019-05-02 15:16:30,288 | model_util |    
INFO     | 2019-05-02 15:16:30,288 | model_util |    For the greedy algorithm you used, please cite:
INFO     | 2019-05-02 15:16:30,288 | model_util |    Lanfear, R., Calcott, B., Ho, S. Y., & Guindon, S. (2012). PartitionFinder: combined selection of partitioning schemes and substitution models for phylogenetic analyses. Molecular biology and evolution, 29(6), 1695-1701.
INFO     | 2019-05-02 15:16:30,288 | model_util |    
INFO     | 2019-05-02 15:16:30,288 | model_util |    Your analysis also used PhyML, so please cite:
INFO     | 2019-05-02 15:16:30,289 | model_util |    Guindon, S., Dufayard, J. F., Lefort, V., Anisimova, M., Hordijk, W., & Gascuel, O. (2010). New algorithms and methods to estimate maximum-likelihood phylogenies: assessing the performance of PhyML 3.0. Systematic biology, 59(3), 307-321.
INFO     | 2019-05-02 15:16:30,289 | model_util |    
INFO     | 2019-05-02 15:16:30,290 | main       | Total processing time: 0:00:30 (h:m:s)
INFO     | 2019-05-02 15:16:30,290 | main       | Processing complete.
